engine_id,cycle,op_setting_1,op_setting_2,op_setting_3,sensor_2,sensor_3,sensor_4,sensor_7,sensor_8,sensor_9,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_17,sensor_20,sensor_21,RUL,sensor_2_rolling_mean,sensor_4_rolling_mean,sensor_7_rolling_mean,sensor_11_rolling_mean
1,1,-0.0007,-0.0004,100.0,641.82,1589.7,1400.6,554.36,2388.06,9046.19,47.47,521.66,2388.02,8138.62,8.4195,392,39.06,23.419,191,641.82,1400.6,554.36,47.47
1,2,0.0019,-0.0003,100.0,642.15,1591.82,1403.14,553.75,2388.04,9044.07,47.49,522.28,2388.07,8131.49,8.4318,392,39.0,23.4236,190,641.985,1401.87,554.0550000000001,47.480000000000004
1,3,-0.0043,0.0003,100.0,642.35,1587.99,1404.2,554.26,2388.08,9052.94,47.27,522.42,2388.03,8133.23,8.4178,390,38.95,23.3442,189,642.1066666666667,1402.6466666666668,554.1233333333333,47.410000000000004
1,4,0.0007,0.0,100.0,642.35,1582.79,1401.87,554.45,2388.11,9049.48,47.13,522.86,2388.08,8133.83,8.3682,392,38.88,23.3739,188,642.1675,1402.4524999999999,554.205,47.34
1,5,-0.0019,-0.0002,100.0,642.37,1582.85,1406.22,554.0,2388.06,9055.15,47.28,522.19,2388.04,8133.8,8.4294,393,38.9,23.4044,187,642.208,1403.206,554.164,47.328
1,6,-0.0043,-0.0001,100.0,642.1,1584.47,1398.37,554.67,2388.02,9049.68,47.16,521.68,2388.03,8132.85,8.4108,391,38.98,23.3669,186,642.2639999999999,1402.76,554.226,47.266000000000005
1,7,0.001,0.0001,100.0,642.48,1592.32,1397.77,554.34,2388.02,9059.13,47.36,522.32,2388.03,8132.32,8.3974,392,39.1,23.3774,185,642.3300000000002,1401.6860000000001,554.3439999999999,47.239999999999995
1,8,-0.0034,0.0003,100.0,642.56,1582.96,1400.97,553.85,2388.0,9040.8,47.24,522.47,2388.03,8131.07,8.4076,391,38.97,23.3106,184,642.372,1401.0399999999997,554.2620000000001,47.234
1,9,0.0008,0.0001,100.0,642.12,1590.98,1394.8,553.69,2388.05,9046.46,47.29,521.79,2388.05,8125.69,8.3728,392,39.05,23.4066,183,642.326,1399.626,554.11,47.266
1,10,-0.0033,0.0001,100.0,641.71,1591.24,1400.46,553.59,2388.05,9051.7,47.03,521.79,2388.06,8129.38,8.4286,393,38.95,23.4694,182,642.1940000000001,1398.474,554.028,47.215999999999994
1,11,0.0018,-0.0003,100.0,642.28,1581.75,1400.64,554.54,2388.05,9049.61,47.15,521.4,2388.01,8140.58,8.434,392,38.94,23.4787,181,642.2299999999999,1398.928,554.0020000000001,47.214
1,12,0.0016,0.0002,100.0,642.06,1583.41,1400.15,554.52,2388.09,9049.37,47.18,521.8,2388.02,8134.25,8.3938,391,39.06,23.366,180,642.146,1399.404,554.038,47.178000000000004
1,13,-0.0019,0.0004,100.0,643.07,1582.19,1400.83,553.44,2388.12,9046.82,47.38,521.85,2388.08,8128.1,8.4152,393,38.93,23.2757,179,642.248,1399.3760000000002,553.956,47.206
1,14,0.0009,0.0,100.0,642.35,1592.95,1399.16,554.48,2388.09,9047.37,47.44,521.67,2388.0,8134.43,8.3964,393,39.18,23.3826,178,642.294,1400.248,554.114,47.236000000000004
1,15,-0.0018,-0.0003,100.0,642.43,1583.82,1402.13,553.64,2388.11,9052.22,47.3,522.5,2388.08,8127.56,8.4199,391,38.99,23.35,177,642.4379999999999,1400.582,554.124,47.29
1,16,0.0006,0.0005,100.0,642.13,1587.98,1404.5,553.94,2388.05,9049.34,47.24,521.49,2388.07,8136.11,8.3936,392,38.97,23.455,176,642.408,1401.354,554.0040000000001,47.308
1,17,0.0002,0.0002,100.0,642.58,1584.96,1399.95,553.8,2388.06,9054.92,47.12,521.89,2388.04,8137.27,8.4542,392,38.81,23.3319,175,642.5120000000001,1401.314,553.86,47.296
1,18,-0.0031,-0.0001,100.0,642.62,1591.04,1396.12,554.2,2388.05,9049.55,47.21,521.76,2388.07,8132.73,8.4028,392,38.89,23.3987,174,642.422,1400.3719999999998,554.0120000000001,47.262
1,19,0.0032,-0.0003,100.0,641.79,1587.56,1400.35,554.18,2388.04,9053.99,47.4,521.89,2388.03,8129.13,8.4321,391,38.8,23.3464,173,642.3100000000001,1400.61,553.952,47.254
1,20,-0.0037,0.0001,100.0,643.04,1581.11,1405.23,554.81,2388.05,9045.9,47.22,522.07,2388.02,8129.71,8.421,392,39.03,23.422,172,642.432,1401.23,554.1859999999999,47.238
1,21,-0.0012,0.0001,100.0,642.37,1586.07,1398.13,554.08,2388.11,9048.15,47.15,522.42,2388.08,8134.02,8.4049,392,39.09,23.3101,171,642.48,1399.956,554.2139999999999,47.22
1,22,0.0002,0.0,100.0,642.77,1592.93,1400.57,553.63,2388.04,9061.21,47.24,522.0,2388.03,8130.41,8.4034,392,38.92,23.3792,170,642.5179999999999,1400.08,554.1800000000001,47.244
1,23,0.0034,-0.0003,100.0,642.14,1588.19,1394.75,553.98,2388.05,9046.28,47.25,521.52,2388.05,8127.9,8.424,392,38.94,23.4562,169,642.4219999999999,1399.806,554.136,47.251999999999995
1,24,-0.001,0.0003,100.0,642.38,1590.83,1398.81,553.49,2388.12,9043.76,47.44,522.13,2388.03,8133.88,8.3891,392,39.0,23.3696,168,642.54,1399.498,553.9979999999999,47.260000000000005
1,25,0.0023,-0.0004,100.0,642.77,1594.1,1399.39,554.0,2388.02,9054.16,47.36,522.56,2388.02,8136.61,8.3917,393,38.95,23.4288,167,642.486,1398.33,553.836,47.288
1,26,0.0,0.0002,100.0,642.16,1589.08,1396.07,554.11,2388.07,9047.11,47.26,522.28,2388.06,8131.15,8.426,394,38.86,23.4149,166,642.444,1397.9180000000001,553.842,47.31
1,27,-0.0012,-0.0004,100.0,642.44,1590.47,1401.84,554.07,2388.02,9047.96,47.37,522.0,2388.13,8134.6,8.4046,393,38.99,23.4472,165,642.3779999999999,1398.172,553.9300000000001,47.336
