engine_id,avg_degradation_temp,avg_pressure,total_cycles,mean_rul,min_rul,op_cycles,lean_priority,priority_rank
39,642.95796875,1414.026171875,128,63.5,0,128,Medium - Monitor,2
91,643.0398518518518,1416.225777777778,135,67.0,0,135,Medium - Monitor,2
57,642.6908029197081,1408.1339416058395,137,68.0,0,137,Medium - Monitor,2
70,642.7856934306569,1410.346715328467,137,68.0,0,137,Medium - Monitor,2
24,642.688843537415,1407.8051020408163,147,73.0,0,147,Medium - Monitor,2
58,642.6770068027212,1409.226530612245,147,73.0,0,147,Medium - Monitor,2
8,642.9342,1413.9699333333333,150,74.5,0,150,Medium - Monitor,2
65,642.5118300653595,1405.2318300653594,153,76.0,0,153,Medium - Monitor,2
77,642.8538961038961,1412.1653246753247,154,76.5,0,154,Medium - Monitor,2
90,642.5423376623377,1405.3627272727274,154,76.5,0,154,Medium - Monitor,2
93,642.5448387096774,1406.841612903226,155,77.0,0,155,Medium - Monitor,2
27,642.7800641025641,1410.6025641025642,156,77.5,0,156,Medium - Monitor,2
98,642.5848717948718,1406.2709615384615,156,77.5,0,156,Medium - Monitor,2
19,642.9517088607595,1414.4455063291139,158,78.5,0,158,Medium - Monitor,2
36,642.8880379746836,1412.75917721519,158,78.5,0,158,Medium - Monitor,2
45,642.5166455696203,1405.6798734177216,158,78.5,0,158,Medium - Monitor,2
13,642.8442331288344,1412.1733128834355,163,81.0,0,163,Medium - Monitor,2
29,642.7544785276074,1411.4108588957056,163,81.0,0,163,Medium - Monitor,2
28,642.4475757575758,1403.6757575757576,165,82.0,0,165,Medium - Monitor,2
74,642.5819277108434,1407.4051204819277,166,82.5,0,166,Medium - Monitor,2
23,642.876130952381,1412.5258333333334,168,83.5,0,168,Medium - Monitor,2
12,642.8580588235294,1413.2144705882351,170,84.5,0,170,Medium - Monitor,2
37,642.8274705882353,1411.1590588235294,170,84.5,0,170,Medium - Monitor,2
60,642.8208720930232,1410.4560465116278,172,85.5,0,172,Medium - Monitor,2
63,642.7313218390805,1411.0396551724139,174,86.5,0,174,Medium - Monitor,2
87,642.7903370786516,1410.9055056179775,178,88.5,0,178,Medium - Monitor,2
3,642.5437430167598,1405.6289944134078,179,89.0,0,179,Medium - Monitor,2
14,642.8845,1412.7483333333334,180,89.5,0,180,Medium - Monitor,2
62,642.9095555555556,1414.3129999999999,180,89.5,0,180,Medium - Monitor,2
35,642.7238121546961,1409.4250828729282,181,90.0,0,181,Medium - Monitor,2
61,642.3904324324324,1403.8437297297296,185,92.0,0,185,Medium - Monitor,2
80,642.9044324324325,1412.6974054054053,185,92.0,0,185,Medium - Monitor,2
99,642.6110810810811,1407.7401081081082,185,92.0,0,185,Medium - Monitor,2
6,642.9423404255319,1413.8761170212767,188,93.5,0,188,Medium - Monitor,2
40,642.9923404255319,1415.0474468085106,188,93.5,0,188,Medium - Monitor,2
85,642.7362765957447,1410.482234042553,188,93.5,0,188,Medium - Monitor,2
4,642.662380952381,1408.2539153439152,189,94.0,0,189,Medium - Monitor,2
32,642.9628795811518,1414.1961256544503,191,95.0,0,191,Medium - Monitor,2
1,642.6210416666667,1407.2621354166668,192,95.5,0,192,Medium - Monitor,2
44,642.5730208333333,1406.4282812499998,192,95.5,0,192,Medium - Monitor,2
55,642.720103626943,1409.8810362694298,193,96.0,0,193,Medium - Monitor,2
30,642.4101546391753,1404.0103092783504,194,96.5,0,194,Medium - Monitor,2
38,642.8557216494845,1412.131030927835,194,96.5,0,194,Medium - Monitor,2
18,642.4317435897436,1404.0321025641026,195,97.0,0,195,Medium - Monitor,2
21,642.7370256410256,1409.4989743589742,195,97.0,0,195,Medium - Monitor,2
34,642.7553846153846,1410.216923076923,195,97.0,0,195,Medium - Monitor,2
53,642.727641025641,1409.1668717948717,195,97.0,0,195,Medium - Monitor,2
42,642.6688775510204,1408.0980612244896,196,97.5,0,196,Medium - Monitor,2
50,642.7274747474747,1409.6450505050504,198,98.5,0,198,Medium - Monitor,2
26,642.8738693467336,1413.0129648241207,199,99.0,0,199,Medium - Monitor,2
68,642.8095979899498,1411.4464824120603,199,99.0,0,199,Medium - Monitor,2
79,642.4633165829146,1404.9919597989951,199,99.0,0,199,Medium - Monitor,2
33,642.4179,1404.3004999999998,200,99.5,0,200,Medium - Monitor,2
100,642.74125,1410.2673000000002,200,99.5,0,200,Medium - Monitor,2
9,642.3967164179105,1403.030646766169,201,100.0,0,201,Low - Extend Interval,3
22,642.9436633663366,1415.3277227722772,202,100.5,0,202,Low - Extend Interval,3
66,642.9561881188118,1415.377277227723,202,100.5,0,202,Low - Extend Interval,3
97,642.5226237623763,1405.8882673267326,202,100.5,0,202,Low - Extend Interval,3
15,642.4866183574879,1404.025652173913,207,103.0,0,207,Low - Extend Interval,3
43,642.5192753623188,1406.0193236714977,207,103.0,0,207,Low - Extend Interval,3
71,642.7898076923077,1411.2321634615384,208,103.5,0,208,Low - Extend Interval,3
16,643.0251674641149,1414.986937799043,209,104.0,0,209,Low - Extend Interval,3
76,642.9160952380953,1413.5117142857143,210,104.5,0,210,Low - Extend Interval,3
51,642.426338028169,1403.7004225352114,213,106.0,0,213,Low - Extend Interval,3
52,642.8455868544601,1412.036103286385,213,106.0,0,213,Low - Extend Interval,3
72,642.6786384976525,1409.1856338028167,213,106.0,0,213,Low - Extend Interval,3
73,642.9282159624413,1414.7274178403757,213,106.0,0,213,Low - Extend Interval,3
88,642.6359154929578,1408.5386854460094,213,106.0,0,213,Low - Extend Interval,3
47,642.486308411215,1405.9370093457944,214,106.5,0,214,Low - Extend Interval,3
82,642.4248598130841,1402.8994859813083,214,106.5,0,214,Low - Extend Interval,3
49,642.8273953488373,1412.720093023256,215,107.0,0,215,Low - Extend Interval,3
41,642.5611111111111,1406.1797222222222,216,107.5,0,216,Low - Extend Interval,3
89,642.5763594470046,1406.752995391705,217,108.0,0,217,Low - Extend Interval,3
10,642.4574324324324,1404.4915765765766,222,110.5,0,222,Low - Extend Interval,3
75,642.855327510917,1412.991965065502,229,114.0,0,229,Low - Extend Interval,3
